seriesId,periodEnd,publishedAt,availableFrom,observedAt,value,unit,source,sourceKind,status
credit.short_balance,2002-08-02,2002-08-09T15:00:00+09:00,2002-08-09T15:00:00+09:00,2026-07-20T11:29:24Z,1004839000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-08-02,2002-08-09T15:00:00+09:00,2002-08-09T15:00:00+09:00,2026-07-20T11:29:24Z,1570284000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-08-09,2002-08-16T15:00:00+09:00,2002-08-16T15:00:00+09:00,2026-07-20T11:29:24Z,1056797000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-08-09,2002-08-16T15:00:00+09:00,2002-08-16T15:00:00+09:00,2026-07-20T11:29:24Z,1514270000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-08-16,2002-08-23T15:00:00+09:00,2002-08-23T15:00:00+09:00,2026-07-20T11:29:24Z,999681000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-08-16,2002-08-23T15:00:00+09:00,2002-08-23T15:00:00+09:00,2026-07-20T11:29:24Z,1523350000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-08-23,2002-08-30T15:00:00+09:00,2002-08-30T15:00:00+09:00,2026-07-20T11:29:24Z,1005860000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-08-23,2002-08-30T15:00:00+09:00,2002-08-30T15:00:00+09:00,2026-07-20T11:29:24Z,1507357000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-08-30,2002-09-06T15:00:00+09:00,2002-09-06T15:00:00+09:00,2026-07-20T11:29:24Z,951364000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-08-30,2002-09-06T15:00:00+09:00,2002-09-06T15:00:00+09:00,2026-07-20T11:29:24Z,1531460000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-09-06,2002-09-13T15:00:00+09:00,2002-09-13T15:00:00+09:00,2026-07-20T11:29:24Z,959255000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-09-06,2002-09-13T15:00:00+09:00,2002-09-13T15:00:00+09:00,2026-07-20T11:29:24Z,1490589000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-09-13,2002-09-20T15:00:00+09:00,2002-09-20T15:00:00+09:00,2026-07-20T11:29:24Z,971836000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-09-13,2002-09-20T15:00:00+09:00,2002-09-20T15:00:00+09:00,2026-07-20T11:29:24Z,1441437000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-09-20,2002-09-27T15:00:00+09:00,2002-09-27T15:00:00+09:00,2026-07-20T11:29:24Z,832017000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-09-20,2002-09-27T15:00:00+09:00,2002-09-27T15:00:00+09:00,2026-07-20T11:29:24Z,1385766000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-09-27,2002-10-04T15:00:00+09:00,2002-10-04T15:00:00+09:00,2026-07-20T11:29:24Z,792353000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-09-27,2002-10-04T15:00:00+09:00,2002-10-04T15:00:00+09:00,2026-07-20T11:29:24Z,1347739000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-10-04,2002-10-11T15:00:00+09:00,2002-10-11T15:00:00+09:00,2026-07-20T11:29:24Z,740160000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-10-04,2002-10-11T15:00:00+09:00,2002-10-11T15:00:00+09:00,2026-07-20T11:29:24Z,1356339000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-10-11,2002-10-18T15:00:00+09:00,2002-10-18T15:00:00+09:00,2026-07-20T11:29:24Z,697678000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-10-11,2002-10-18T15:00:00+09:00,2002-10-18T15:00:00+09:00,2026-07-20T11:29:24Z,1278202000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.short_balance,2002-10-18,2002-10-25T15:00:00+09:00,2002-10-25T15:00:00+09:00,2026-07-20T11:29:24Z,747973000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
credit.long_balance,2002-10-18,2002-10-25T15:00:00+09:00,2002-10-25T15:00:00+09:00,2026-07-20T11:29:24Z,1229332000000,JPY,JPX official | https://www.jpx.co.jp/markets/statistics-equities/margin/tvdivq0000001rq1-att/tvdivq0000015969.xls | sha256=be4efee05404884acd405c331efa093e68d8d4a450604ce3539bb6ddd7332c08 | availability=conservative_plus_7d_1500_JST,official,live
